id,name,description
1,glycerin,"Nondisplaced fracture of proximal phalanx of left great toe, initial encounter for open fracture"
2,galantamine hydrobromide,"Pathological fracture in neoplastic disease, left tibia, sequela"
3,"OCTINOXATE, TITANIUM DIOXIDE","Nondisplaced spiral fracture of shaft of ulna, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
4,TITANIUM DIOXIDE,"Nondisplaced fracture of greater trochanter of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
5,Naproxen,Paralytic ptosis of left eyelid
6,OCTINOXATE and TITANIUM DIOXIDE,"Unspecified injury of dorsal vein of unspecified foot, sequela"
7,Prednisone,"Transient synovitis, right knee"
8,"Acetaminophen, Guaifenesin, and Phenylephrine Hydrochloride",Nondisplaced spiral fracture of shaft of right fibula
9,propafenone hydrochloride,"Toxic effect of chlorine gas, intentional self-harm, sequela"
10,Fexofenadine Hydrochloride,Other physeal fracture of lower end of left tibia
11,Calcitriol,"Acute atopic conjunctivitis, bilateral"
12,Erythromycin Ethylsuccinate,"Recurrent dislocation, unspecified elbow"
13,Sodium fluoride,Other microdeletions
14,Isopropyl Alcohol,"Poisoning by, adverse effect of and underdosing of butyrophenone and thiothixene neuroleptics"
15,Diphenhydramine Hydrochloride,"Unspecified pedal cyclist injured in collision with other motor vehicles in traffic accident, initial encounter"
16,dibucaine,"Pedal cycle passenger injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter"
17,Alcohol,"Posterior dislocation of lens, right eye"
18,"Menthol, Methyl salicylate","War operations involving flamethrower, civilian"
19,losartan potassium and hydrochlorothiazide,Dyspareunia not due to a substance or known physiological condition
20,Dextromethorphan Hydrobromide / Guaifenesin,"Yellow fever, unspecified"
